"Video Name","YouTube Training Video URLs","Sandbox URLs","Notes"
"All","https://www.youtube.com/channel/UC4hp3K9JFptqPZyNjJLvkJg/videos","<front>","There is an existing FAQ question that directs people to the YouTube channel. An additional line of content could be added here to indicate that training videos have also been added inline in the admin, where applicable. http://www.openymca.org/faq
ARE THERE ANY TUTORIALS OR VIDEOS ON HOW TO USE AND SETUP OPEN Y?"
"Open Y Install Tutorial for Tech Novices","https://www.youtube.com/watch?v=O3BkmL2MpKU","<front>","Video includes hosting setup instructions with DigitalOcean, should be public link outside of Admin console before Drupal site is setup. There is an existing FAQ question that directs people to the general YouTube channel. An additional line of content and link to this specific setup video could be added here. http://www.openymca.org/faq ARE THERE ANY TUTORIALS OR VIDEOS ON HOW TO USE AND SETUP OPEN Y?
If people need a refresher, the Help box could possibly be located in the /admin/config section"
"OpenY anti spam protection - reCaptcha","https://www.youtube.com/watch?v=nHo2uL-bPyM","/admin/config/people/captcha","Suggest to put on webforms page (where editors create new webforms)"
"Date Based Component - Quick Start","https://www.youtube.com/watch?v=Ok5Gf23pVs0",,"Related to scheduling content that is time based, which could be on any page/block. Example is about adding to landing page. https://www.evernote.com/l/AW_I2grxYrtD_qQpEJDjR9rkwRcspXyRtGY"
"Image Focal Point - Tutorial and Preview","https://www.youtube.com/watch?v=_xqAYLagSwE",,"This is related to editing images on any page, therefore it could belong in a general, info section with other miscellaneous videos (e.g. Tips and Tricks), or left out of the Admin. "
"OpenY: How to Change Styles and Create Custom Theme","https://www.youtube.com/watch?v=c1WXlyHXlrU","/admin/appearance/settings/openy_rose","This video is relevant to the OpenY Rose (default theme)"
"OpenY: Upgrade Path Dashboard","https://www.youtube.com/watch?v=ThpCX6T4q6c","/admin/config/development/openy-upgrade-dashboard",
"OpenY: Demo Content","https://www.youtube.com/watch?v=GcwNW3TDnjg",,"Part of the installation process. See notes in ""Open Y Install Tutorial for Tech Novices"" for placement. Could be here /admin/structure/migrate"
"OpenY: Data Layer","https://www.youtube.com/watch?v=EDibwoQgIUY",,"Covers Chrome Developer Tools to explore data layer. Possible relation to /content types, but perhaps too micro of a topic to place as a Help box in this section. /admin/structure/types (if anywhere)"
"lndr (pronounced 'Lander') - an easy to use tool to build landing / marketing pages in Open Y","https://www.youtube.com/watch?v=y9uXhMQaVYA","/admin/config/content/lndr","Integration for building landing pages. "
"How to create an SSH key on Windows","https://www.youtube.com/watch?v=0lGnFoe4XzM",,"Part of setup process on Windows. "
"Quick Start Open Y Install tutorial with Digital Ocean","https://www.youtube.com/watch?v=V3K4-RLjxQo",,"Similar to Open Y Install Tutorial for Tech Novices (but shorter). See notes above. "
"Dr. Jeffrey Burns, Nathan Maehren talk about making a difference with Drupal - Open Y Edit","https://www.youtube.com/watch?v=HPsa8ZgLw1A",,"Great video, but more marketing focused. Suggest it doesn't need to be in the Admin as a Help topic. There is an existing playlist ""For Y Associations"" that covers these types of topics on YouTube https://www.youtube.com/watch?v=HPsa8ZgLw1A&list=PL_QVggMcFfKY_80g0z3UPZL7_wn-27UUg"
"OpenY: Branch","https://www.youtube.com/watch?v=l5rlwyyIaMk","/node/add/branch","User is directed here during the video. Manage > Content > Add Content > Branch"
"OpenY: Landing Page Wizard","https://www.youtube.com/watch?v=JGdDCWtbNKY","/node/add/landing_page","User is directed here during the video. Manage > Content > Add Content > Landing Page"
"OpenY: Content Overview","https://www.youtube.com/watch?v=UNYCB9XegDE","/admin/content",
